Audience,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 25-49,,HM F 25-49,,HM F 25-49,,HM F 25-49
,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB
,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany
,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach
137,0.459,,,,,,,114.57,0.3902,,,,,,,112.62,0.4009,,,,,,
138,0.46,,,,,,,114.58,0.3902,,,,,,,113.14,0.4009,,,,,,
138,0.46,,,,,,,115.93,0.3934,,,,,,,113.44,0.401,,,,,,
139,0.46,,,,,,,116.58,0.3934,,,,,,,114.06,0.4026,,,,,,
140,0.46,,,,,,,117.01,0.3934,,,,,,,114.06,0.4026,,,,,,
141,0.46,,,,,,,117.97,0.3935,,,,,,,114.78,0.4039,,,,,,
142,0.467,,,,,,,118.99,0.3941,,,,,,,115.63,0.4066,,,,,,
143,0.467,,,,,,,122.65,0.4005,,,,,,,116.13,0.4079,,,,,,
144,0.467,,,,,,,122.92,0.401,,,,,,,116.43,0.4079,,,,,,
144,0.467,,,,,,,124.08,0.4016,,,,,,,116.67,0.408,,,,,,
145,0.47,,,,,,,126.8,0.4046,,,,,,,117.11,0.4086,,,,,,
147,0.47,,,,,,,127.63,0.4071,,,,,,,117.57,0.409,,,,,,
148,0.47,,,,,,,127.95,0.4078,,,,,,,117.83,0.4091,,,,,,
150,0.47,,,,,,,128,0.4078,,,,,,,117.96,0.4091,,,,,,
151,0.47,,,,,,,128.3,0.4078,,,,,,,118.23,0.4092,,,,,,
152,0.47,,,,,,,128.8,0.4079,,,,,,,119.39,0.412,,,,,,
153,0.47,,,,,,,129.38,0.4091,,,,,,,119.4,0.4121,,,,,,
154,0.471,,,,,,,129.46,0.4094,,,,,,,119.55,0.4121,,,,,,
155,0.471,,,,,,,129.75,0.4096,,,,,,,120.73,0.4141,,,,,,
155,0.471,,,,,,,130.04,0.4105,,,,,,,121.45,0.4149,,,,,,
157,0.471,,,,,,,130.55,0.4105,,,,,,,121.96,0.4165,,,,,,
163,0.498,,,,,,,130.8,0.4105,,,,,,,121.96,0.4165,,,,,,
163,0.498,,,,,,,130.94,0.4105,,,,,,,122.78,0.4165,,,,,,
164,0.498,,,,,,,131.69,0.4106,,,,,,,122.92,0.4165,,,,,,
167,0.501,,,,,,,132,0.4112,,,,,,,123.2,0.4178,,,,,,
167,0.501,,,,,,,132,0.4112,,,,,,,123.44,0.4186,,,,,,
168,0.501,,,,,,,132.37,0.4113,,,,,,,123.76,0.4188,,,,,,
168,0.501,,,,,,,132.37,0.4113,,,,,,,124.35,0.4192,,,,,,
168,0.501,,,,,,,132.37,0.4113,,,,,,,127.79,0.4289,,,,,,
169,0.504,,,,,,,132.37,0.4113,,,,,,,127.91,0.4289,,,,,,
169,0.505,,,,,,,133.28,0.4113,,,,,,,128.43,0.4295,,,,,,
169,0.508,,,,,,,133.61,0.4126,,,,,,,128.92,0.4304,,,,,,
170,0.508,,,,,,,133.89,0.4128,,,,,,,131.41,0.4333,,,,,,
170,0.508,,,,,,,133.92,0.4128,,,,,,,131.52,0.4333,,,,,,
170,0.508,,,,,,,134.07,0.4139,,,,,,,132.18,0.4333,,,,,,
171,0.508,,,,,,,134.27,0.4139,,,,,,,132.62,0.4339,,,,,,
172,0.509,,,,,,,134.49,0.4149,,,,,,,136.45,0.4362,,,,,,
173,0.51,,,,,,,134.76,0.4149,,,,,,,137.18,0.4374,,,,,,
174,0.511,,,,,,,135.05,0.4149,,,,,,,140.71,0.4384,,,,,,
174,0.511,,,,,,,135.34,0.4149,,,,,,,140.89,0.4384,,,,,,
176,0.511,,,,,,,135.39,0.4149,,,,,,,142.13,0.4388,,,,,,
176,0.511,,,,,,,136.19,0.4163,,,,,,,144.78,0.4397,,,,,,
177,0.511,,,,,,,137.58,0.4173,,,,,,,144.93,0.4398,,,,,,
177,0.511,,,,,,,137.98,0.4182,,,,,,,145.18,0.4398,,,,,,
177,0.511,,,,,,,138.28,0.4183,,,,,,,146.84,0.4407,,,,,,
177,0.511,,,,,,,138.66,0.4184,,,,,,,146.98,0.4407,,,,,,
177,0.511,,,,,,,139.34,0.4185,,,,,,,148.26,0.4424,,,,,,
177,0.511,,,,,,,139.66,0.4192,,,,,,,148.58,0.4425,,,,,,
178,0.511,,,,,,,140.08,0.4203,,,,,,,149.01,0.4425,,,,,,
178,0.514,,,,,,,140.58,0.4204,,,,,,,149.18,0.4425,,,,,,
178,0.514,,,,,,,140.74,0.4209,,,,,,,149.23,0.4425,,,,,,
180,0.516,,,,,,,141.4,0.423,,,,,,,149.36,0.443,,,,,,
